npc_name,npc_class,npc_race,npc_level,npc_alignment,npc_gender,npc_age,npc_height,npc_description
Yard Dopson,Warlock,Gnome,12,Neutral Evil,Male,48,Tall,A master of disguise with a talent for blending in
Erv Spring,Hunter,Tortle,11,Lawful Good,Male,36,Short,A charismatic leader with a silver tongue
Julio Leahey,Warlock,Human,3,Chaotic Good,Bigender,48,Average,A compassionate listener always ready to lend an ear
Alfons Stratz,Druid,Yuan-Ti,14,Neutral Good,Male,60,Short,A quick-witted trickster with a clever mind
Siward Trelease,Druid,Gnome,13,Lawful Good,Male,88,Short,A quick-thinking problem solver with a logical mind
Herby Satchel,Death Knight,Goliath,3,Chaotic Neutral,Male,58,Average,A charismatic performer who lights up any stage
Charla Spearett,Thief,Tiefling,7,Lawful Good,Female,11,Tall,A skilled warrior with a heart of gold
Ricoriki McCloud,Engineer,Goblin,12,Chaotic Good,Male,42,Short,A fearless explorer of uncharted lands
Rickey Speechley,Druid,Tiefling,13,Neutral Evil,Male,26,Tall,A wise advisor offering guidance and wisdom
Jedediah Croutear,Alchemist,Triton,10,Neutral Good,Male,25,Tall,A patient teacher passing on their knowledge to others
Kata Baudins,Rogue,Gnome,15,Lawful Good,Non-binary,85,Short,A free-spirited wanderer with an insatiable wanderlust
Layney Vice,Warlock,Kobold,11,Chaotic Good,Female,85,Short,A patient teacher passing on their knowledge to others
Justina Mangeot,Hunter,Halfling,14,Lawful Neutral,Female,61,Average,A charismatic diplomat bridging gaps between cultures
Desirae Kincaid,Bard,Warforged,4,Chaotic Good,Female,89,Tall,A wise sage with ancient knowledge
Marten Hitchens,Death Knight,Kenku,7,Lawful Evil,Male,95,Average,A creative artist with a unique vision
Winnie Willoughway,Necromancer,Dragonborn,6,Lawful Good,Female,72,Average,A skilled engineer inventing groundbreaking technologies
Ewell Pelcheur,Paladin,Dwarf,12,Neutral Evil,Male,81,Short,A relentless seeker of justice and truth
Kimbra Moggie,Rogue,Elf,5,Chaotic Good,Female,63,Short,A brave adventurer with a mysterious past
Meaghan Flecknoe,Thief,Human,15,True Neutral,Female,53,Tall,A natural-born leader with a commanding presence
Haywood Rockwell,Paladin,Orc,6,Neutral Evil,Male,22,Tall,A skilled craftsman with a talent for creating masterpieces
Josias Bradman,Monk,Halfling,3,Chaotic Good,Male,80,Tall,A skilled archer with unmatched precision
Georgine Deeble,Ninja,Tiefling,4,Chaotic Good,Female,45,Average,A skilled archer with unmatched precision
Perren Cleyne,Sorcerer,Firbolg,8,Lawful Evil,Non-binary,68,Short,A stoic guardian always ready to protect others
Everard Faltin,Paladin,Triton,8,True Neutral,Male,69,Average,A wise advisor offering guidance and wisdom
Leonard Allitt,Shaman,Gnome,10,Chaotic Neutral,Male,26,Average,A natural-born leader with a commanding presence
Inessa Dunkinson,Hunter,Gnome,4,Lawful Neutral,Female,34,Tall,A curious scholar always hungry for new discoveries
Salomi Woolpert,Paladin,Genasi,11,True Neutral,Female,56,Tall,A fearless hunter tracking down dangerous beasts
Edwin Chiese,Paladin,Warforged,14,Lawful Good,Male,19,Average,A curious scholar always hungry for new discoveries
Pren Gogie,Hunter,Tabaxi,5,Chaotic Evil,Male,47,Average,A compassionate healer with a gentle touch
Noach Merchant,Alchemist,Tortle,5,Lawful Neutral,Male,76,Short,A skilled warrior with a heart of gold
Madella O'Neill,Monk,Tortle,2,True Neutral,Female,60,Short,A quick-thinking problem solver with a sharp intellect
Gleda Swadling,Priest,Goblin,11,Lawful Evil,Female,41,Tall,A skilled warrior with a heart of gold
Ahmed Houtbie,Monk,Gnome,11,True Neutral,Male,60,Average,An enigmatic wanderer seeking knowledge and truth
Mab Habbershon,Druid,Kenku,9,Chaotic Evil,Female,17,Average,A talented musician who can captivate any audience
Dene Kasting,Thief,Elf,2,Neutral Evil,Male,59,Tall,A brave adventurer with a mysterious past
Cross Osgodby,Paladin,Halfling,3,Chaotic Neutral,Male,98,Short,A patient teacher passing on their knowledge to others
Irene Guise,Warlock,Gnome,5,Neutral Good,Female,94,Short,A cunning detective solving mysteries with ease
Osborne Borth,Rogue,Goblin,11,Chaotic Neutral,Male,98,Tall,A master of disguise with a talent for blending in
Lek Antram,Demon Hunter,Aasimar,1,Lawful Neutral,Male,33,Average,An enigmatic wanderer seeking knowledge and truth
Hildagarde Rucklidge,Ninja,Warforged,9,Lawful Evil,Female,98,Short,A charismatic leader with a silver tongue
Davidson Greenrod,Druid,Orc,15,Lawful Good,Male,42,Tall,A fearless explorer of uncharted lands
Florida Scryne,Ninja,Tortle,5,Chaotic Good,Female,55,Tall,A relentless seeker of justice and truth
Jack Neubigging,Sorcerer,Genasi,9,Lawful Good,Male,87,Short,A charismatic diplomat bridging gaps between cultures
Art Corbin,Priest,Yuan-Ti,4,Lawful Evil,Male,96,Average,A cunning strategist with a mischievous smile
Norry Bitcheno,Bard,Kobold,15,Chaotic Evil,Male,24,Tall,A patient teacher passing on their knowledge to others
Zara Tidcomb,Warrior,Tortle,5,Lawful Neutral,Female,53,Average,A free-spirited wanderer with an insatiable wanderlust
Gavrielle Graves,Samurai,Goliath,4,Chaotic Neutral,Female,80,Average,A charismatic performer who lights up any stage
Shelbi McMenemy,Samurai,Aasimar,5,Lawful Evil,Female,18,Short,A relentless seeker of justice and truth
Darrick Whitehurst,Shaman,Kobold,3,Chaotic Good,Male,72,Average,A wise sage with ancient knowledge
Bronny Farquharson,Rogue,Dwarf,2,Lawful Good,Non-binary,12,Tall,A loyal companion who never leaves a friend behind
Maison Rothschild,Rogue,Goblin,11,Lawful Neutral,Male,82,Tall,A compassionate listener always ready to lend an ear
Mallory D'Ambrosio,Bard,Goliath,7,Chaotic Neutral,Genderqueer,98,Tall,A natural-born leader with a commanding presence
Con Le Jean,Paladin,Yuan-Ti,10,Lawful Neutral,Male,88,Tall,A relentless seeker of justice and truth
Neddie Geer,Druid,Firbolg,8,Lawful Evil,Male,46,Tall,A patient teacher passing on their knowledge to others
Eve Latus,Bard,Gnome,10,Lawful Good,Female,94,Tall,An intuitive empath who can understand others' emotions
Odella Isacoff,Mage,Kobold,6,Neutral Good,Genderqueer,33,Average,A charismatic leader with a silver tongue
Obed Le Grys,Hunter,Dragonborn,9,True Neutral,Male,74,Tall,A gentle healer mending both body and soul
Mic Jaulme,Bard,Warforged,2,Chaotic Good,Male,48,Average,A relentless seeker of justice and truth
Idette Middlehurst,Warrior,Triton,2,Lawful Neutral,Female,51,Average,A stoic guardian always ready to protect others
Moselle Crowson,Ninja,Goblin,10,Neutral Good,Female,80,Average,A brave adventurer with a mysterious past
Ephrem Grinvalds,Samurai,Goliath,7,True Neutral,Male,89,Tall,A quick-witted trickster with a clever mind
Rafaelia Mustill,Alchemist,Firbolg,2,Lawful Evil,Female,72,Short,A stoic guardian always ready to protect others
Edie Moodie,Sorcerer,Goliath,2,True Neutral,Bigender,47,Average,A wise mentor guiding others on their path
Estele Bruyett,Rogue,Orc,10,Chaotic Good,Female,40,Tall,A skilled craftsman with a talent for creating masterpieces
Dione Bilbee,Sorcerer,Yuan-Ti,14,Chaotic Evil,Female,17,Average,A skilled magician performing awe-inspiring tricks
Rosco Fellona,Warrior,Kobold,2,Neutral Good,Male,57,Tall,A compassionate caregiver always putting others first
Laurette Sharman,Shaman,Triton,14,Chaotic Evil,Female,56,Tall,A charismatic leader with a silver tongue
Conny Kempshall,Samurai,Gnome,8,Chaotic Evil,Male,79,Average,A free-spirited wanderer with an insatiable wanderlust
Olia Rebichon,Warlock,Warforged,6,Lawful Good,Female,19,Tall,A wise advisor offering guidance and wisdom
Frans Dayer,Druid,Tortle,6,Chaotic Neutral,Male,28,Tall,A skilled archer with unmatched precision
Sigfrid Bagnall,Priest,Warforged,13,Neutral Evil,Male,90,Average,A fearless warrior always ready for battle
Harp Kellington,Samurai,Tiefling,5,Neutral Good,Male,90,Tall,A compassionate protector of the weak
Babb Chesters,Priest,Kobold,2,Lawful Neutral,Female,30,Average,A gentle healer mending both body and soul
Jorgan Tessington,Ninja,Warforged,9,Neutral Evil,Male,48,Short,A skilled engineer inventing groundbreaking technologies
Dannie Mars,Paladin,Dragonborn,10,Chaotic Evil,Male,80,Tall,A patient teacher passing on their knowledge to others
Roxanna Shitliffe,Hunter,Halfling,5,Neutral Evil,Female,24,Short,A skilled magician performing awe-inspiring tricks
Somerset Ferrarello,Sorcerer,Kobold,8,Neutral Evil,Male,29,Short,A free-spirited wanderer with an insatiable wanderlust
Aland Bach,Samurai,Kobold,14,Chaotic Good,Male,58,Tall,A patient teacher passing on their knowledge to others
Winny Malthus,Bard,Halfling,13,Lawful Neutral,Female,26,Tall,A patient teacher passing on their knowledge to others
Meredith Crust,Ninja,Orc,2,Neutral Evil,Female,78,Short,A stoic guardian always ready to protect others
Halsy Meadway,Alchemist,Yuan-Ti,5,Chaotic Evil,Genderqueer,12,Short,A free-spirited wanderer with an insatiable wanderlust
Glenden Sandom,Engineer,Genasi,6,Chaotic Good,Male,71,Short,A charismatic diplomat bridging gaps between cultures
Cherianne Ratke,Hunter,Elf,4,Neutral Good,Agender,97,Short,A charismatic performer who lights up any stage
Emory Cavil,Shaman,Yuan-Ti,2,Neutral Evil,Male,48,Average,A cunning strategist with a mischievous smile
Evvie Easum,Thief,Tiefling,3,Chaotic Good,Female,39,Tall,A mysterious figure shrouded in shadows
Janek Tysack,Samurai,Orc,1,Lawful Evil,Genderfluid,53,Short,An intuitive empath who can understand others' emotions
Addia MacAleese,Bard,Goliath,4,Chaotic Good,Female,68,Average,A charismatic diplomat bridging gaps between cultures
Genni Di Filippo,Warrior,Elf,9,Lawful Neutral,Female,19,Tall,A quick-thinking problem solver with a logical mind
Briana Scough,Sorcerer,Triton,7,Chaotic Evil,Female,66,Average,A cunning strategist with a mischievous smile
Forbes Szymonwicz,Demon Hunter,Kobold,7,Chaotic Good,Male,67,Average,A gentle healer mending both body and soul
Wylie Connor,Thief,Gnome,4,True Neutral,Male,35,Short,A relentless seeker of justice and truth
Nikaniki Pocknoll,Rogue,Kobold,11,Lawful Good,Female,46,Average,A stoic guardian always ready to protect others
Adham McDonnell,Druid,Gnome,15,Chaotic Evil,Male,15,Short,A skilled tracker with an uncanny ability to find anything
Mahala Wyness,Engineer,Kobold,2,Chaotic Evil,Female,84,Average,A skilled navigator guiding others through treacherous terrain
Joyce Jowett,Warrior,Kobold,9,Lawful Neutral,Genderfluid,78,Tall,A quick-footed acrobat with incredible agility
Sharona Yeeles,Necromancer,Warforged,10,Neutral Good,Female,17,Average,A natural-born leader with a commanding presence
Ruprecht Bugg,Mage,Tortle,13,Chaotic Neutral,Male,20,Short,A curious scholar always hungry for new discoveries
Brynn Poller,Ninja,Human,7,True Neutral,Female,13,Short,A skilled diplomat with a knack for negotiation
Gustavus Garment,Sorcerer,Warforged,3,Chaotic Evil,Male,35,Average,A resourceful problem solver with a keen eye
Nan Gorce,Thief,Tortle,13,Chaotic Neutral,Genderfluid,78,Short,A quick-thinking problem solver with a sharp intellect
Bradney Panner,Death Knight,Human,8,Lawful Good,Male,80,Average,A wise sage with ancient knowledge
Daryle Ivan,Warlock,Firbolg,12,Lawful Evil,Male,21,Average,A gentle healer mending both body and soul
Tomasina Fysh,Engineer,Tabaxi,14,Lawful Evil,Female,64,Short,A curious explorer uncovering ancient secrets
Nicolis Lennon,Alchemist,Kobold,13,True Neutral,Male,25,Short,A talented musician who can captivate any audience
Julian Brislan,Rogue,Goliath,11,Lawful Evil,Genderfluid,26,Tall,A brave adventurer with a mysterious past
Liane Rudyard,Shaman,Yuan-Ti,7,Neutral Good,Female,26,Average,A compassionate healer with a gentle touch
Quintin Earengey,Demon Hunter,Tiefling,12,Chaotic Good,Male,80,Short,A mysterious seer with visions of the future
Major Knaggs,Paladin,Orc,14,True Neutral,Male,67,Tall,A cunning linguist with nimble fingers
Johny Semerad,Demon Hunter,Kenku,10,Chaotic Good,Male,98,Average,A wise philosopher pondering the mysteries of life
Donna Picknett,Warlock,Elf,7,Neutral Evil,Female,27,Tall,A relentless seeker of justice and truth
Philis Varndell,Mage,Kenku,7,Lawful Good,Female,23,Short,A cunning strategist with a mischievous smile
Marice Stoyell,Druid,Kenku,15,Neutral Good,Female,88,Tall,A talented musician who can captivate any audience
Cherey Bark,Mage,Triton,5,Neutral Good,Female,13,Short,A compassionate protector of the weak
Shena Phillpot,Ninja,Goliath,14,Chaotic Good,Female,49,Average,An intuitive empath who can understand others' emotions
Penny Barlie,Paladin,Kobold,2,Lawful Good,Male,34,Tall,A gentle soul with a deep connection to nature
Zack Flacknell,Priest,Kenku,8,True Neutral,Male,79,Average,A free-spirited wanderer with an insatiable wanderlust
Berta Treagust,Priest,Genasi,9,Chaotic Evil,Female,88,Short,A resourceful survivor thriving in harsh environments
Carlyle Mathiot,Death Knight,Gnome,7,Neutral Evil,Male,57,Tall,A quick-footed acrobat with incredible agility
Goraud Rubinlicht,Thief,Tiefling,12,Neutral Good,Male,37,Tall,A skilled navigator guiding others through treacherous terrain
Galen Syde,Thief,Genasi,14,Chaotic Neutral,Male,17,Short,A skilled archer with unmatched precision
Aurilia Labbati,Monk,Yuan-Ti,2,Lawful Evil,Female,94,Short,A skilled diplomat with a knack for negotiation
Sherry Blincoe,Samurai,Aasimar,1,Neutral Good,Female,33,Short,A quick-witted trickster with a clever mind
Olin Dudin,Necromancer,Gnome,15,Chaotic Evil,Male,67,Average,A compassionate listener always ready to lend an ear
Dorothee Toderi,Mage,Kobold,5,Chaotic Evil,Female,62,Tall,A compassionate healer with a gentle touch
Matelda Di Biagio,Ninja,Kenku,15,Lawful Good,Female,88,Short,A resourceful problem solver with a keen eye
Otto Brookwell,Death Knight,Aasimar,8,Lawful Neutral,Male,64,Average,A curious scholar always hungry for new discoveries
Richie Biasioni,Samurai,Dragonborn,5,Lawful Neutral,Male,74,Average,A skilled navigator guiding others through treacherous terrain
Andra Mathonnet,Ninja,Dwarf,10,Neutral Evil,Female,74,Average,A curious explorer uncovering ancient secrets
Vinson McPhillips,Druid,Dragonborn,6,Lawful Evil,Male,66,Tall,A quick-witted trickster with a clever mind
Filippo D'Ambrosio,Rogue,Dragonborn,9,Neutral Evil,Male,67,Average,A compassionate healer with a gentle touch
Rowney Piotrkowski,Monk,Tiefling,3,Neutral Good,Agender,36,Tall,A skilled engineer inventing groundbreaking technologies
Gay Learmonth,Monk,Triton,7,True Neutral,Male,64,Short,A quick-thinking problem solver with a logical mind
Dinny Cavan,Mage,Aasimar,7,Lawful Good,Female,71,Short,A skilled tracker with an uncanny ability to find anything
Devina Bretherton,Warrior,Warforged,10,Lawful Evil,Female,29,Average,A patient teacher passing on their knowledge to others
Jobina Hardwin,Bard,Elf,10,True Neutral,Female,40,Short,A skilled magician performing awe-inspiring tricks
Bevin Westcar,Priest,Goliath,15,Lawful Neutral,Polygender,71,Average,A fearless explorer of uncharted lands
Prue Senchenko,Rogue,Kobold,3,Lawful Good,Female,74,Tall,A charismatic diplomat bridging gaps between cultures
Farica Raise,Paladin,Human,4,Lawful Evil,Agender,77,Average,A compassionate caregiver always putting others first
Benedicto Younger,Engineer,Tiefling,12,Lawful Good,Agender,39,Tall,A skilled navigator guiding others through treacherous terrain
Ted Andreaccio,Hunter,Tortle,1,True Neutral,Male,89,Short,A master of disguise with a talent for blending in
Gino Biggerstaff,Alchemist,Tiefling,13,Chaotic Good,Male,53,Average,A quick-footed acrobat with incredible agility
Reg Crabbe,Demon Hunter,Goliath,3,Lawful Good,Male,84,Short,A compassionate protector of the weak
Dianemarie Treend,Ninja,Goliath,13,Lawful Evil,Female,24,Tall,A curious scholar always hungry for new discoveries
Donelle Vlasin,Sorcerer,Orc,4,Neutral Evil,Female,72,Short,A resourceful survivor thriving in harsh environments
Ingram Behrendsen,Monk,Human,1,Lawful Evil,Male,16,Short,A mysterious seer with visions of the future
Sander Aimeric,Druid,Goblin,15,Lawful Evil,Male,11,Tall,A fearless protector standing up against injustice
Mohandis Bergeon,Necromancer,Tortle,4,Lawful Evil,Male,59,Short,A stoic guardian always ready to protect others
Meta Flecknell,Druid,Dragonborn,8,Neutral Evil,Female,55,Short,A quick-witted trickster with a clever mind
Jase Burborough,Paladin,Dragonborn,5,Chaotic Neutral,Male,64,Average,A cunning detective solving mysteries with ease
Royal Snawdon,Rogue,Triton,15,Chaotic Good,Male,63,Average,A fearless hunter tracking down dangerous beasts
Fonz Huxstep,Sorcerer,Firbolg,8,Chaotic Evil,Male,94,Average,A skilled tracker with an uncanny ability to find anything
Jeramey Ashleigh,Paladin,Yuan-Ti,9,Chaotic Neutral,Male,94,Short,A skilled engineer inventing groundbreaking technologies
Giuseppe Wantling,Priest,Gnome,4,Neutral Evil,Male,68,Average,A quick-footed acrobat with incredible agility
Pincus Kenafaque,Samurai,Tortle,5,Chaotic Neutral,Male,12,Short,A resourceful problem solver with a keen eye
Milicent Ruspine,Warrior,Tabaxi,15,Chaotic Good,Female,40,Average,A skilled warrior with a heart of gold
Calli Chisolm,Alchemist,Aasimar,14,Chaotic Evil,Female,87,Short,A loyal companion who never leaves a friend behind
Dieter Espinola,Bard,Tabaxi,9,Lawful Evil,Male,11,Average,A charismatic storyteller with a captivating voice
Anna-diana Decayette,Samurai,Orc,14,Lawful Good,Female,48,Average,A fearless explorer of uncharted lands
Betteanne Jimenez,Engineer,Elf,8,Chaotic Neutral,Female,68,Short,A charismatic leader with a silver tongue
Holly-anne Gaylard,Ninja,Kobold,2,Chaotic Evil,Female,26,Tall,A quick-witted trickster with a clever mind
Lorrayne Cromer,Death Knight,Triton,7,Lawful Evil,Female,66,Short,A cunning linguist with nimble fingers
Rosina Balderston,Sorcerer,Yuan-Ti,12,Chaotic Evil,Female,30,Tall,A cunning strategist with a mischievous smile
Humfrey Martijn,Thief,Kobold,3,Neutral Evil,Male,76,Average,A cunning strategist with a mischievous smile
Briant Basek,Ninja,Kenku,11,Lawful Good,Male,36,Average,A mysterious figure shrouded in shadows
Rosamond Minico,Thief,Goliath,8,Neutral Good,Polygender,56,Average,A charismatic leader with a silver tongue
Wake Edwicker,Necromancer,Goliath,4,Chaotic Evil,Male,52,Tall,A cunning linguist with nimble fingers
Adele Mathely,Shaman,Goliath,4,Chaotic Neutral,Non-binary,63,Average,A wise mentor guiding others on their path
Waldemar Dineges,Alchemist,Human,9,Neutral Good,Male,39,Average,A relentless seeker of justice and truth
Janice Le Grove,Warlock,Warforged,14,Neutral Evil,Female,83,Short,A quick-footed acrobat with incredible agility
Winnie Brazer,Druid,Kobold,1,Lawful Evil,Female,60,Tall,A cunning detective solving mysteries with ease
Annalise Armal,Shaman,Gnome,8,True Neutral,Non-binary,33,Tall,A quick-footed acrobat with incredible agility
Teodorico Brauns,Mage,Kobold,3,Chaotic Neutral,Male,78,Tall,A gentle healer mending both body and soul
Ruddy Dubbin,Necromancer,Warforged,9,Lawful Good,Male,55,Short,A free-spirited wanderer with an insatiable wanderlust
Kendell Cranton,Hunter,Halfling,11,Lawful Good,Male,53,Average,A natural-born leader with a commanding presence
Gabriel Pittson,Engineer,Halfling,5,Lawful Evil,Genderfluid,43,Short,A fearless warrior always ready for battle
Gelya Kos,Bard,Yuan-Ti,2,Chaotic Good,Female,23,Tall,A quick-thinking problem solver with a logical mind
Reed Zmitrichenko,Paladin,Goblin,15,Lawful Good,Genderfluid,20,Average,A stoic guardian always ready to protect others
Enrichetta Stopforth,Monk,Warforged,4,Chaotic Neutral,Female,10,Short,A charismatic diplomat bridging gaps between cultures
Torr Lillecrop,Engineer,Tortle,11,Lawful Good,Male,34,Tall,A patient teacher passing on their knowledge to others
Charlie Baden,Priest,Gnome,11,Neutral Good,Male,90,Short,A master of disguise with a talent for blending in
Kristan Burgin,Hunter,Goliath,1,Chaotic Good,Female,20,Average,A loyal companion who never leaves a friend behind
Emilee Hrishchenko,Shaman,Orc,14,Lawful Evil,Female,18,Average,A wise advisor offering guidance and wisdom
Marj Leynagh,Death Knight,Aasimar,9,Chaotic Good,Female,20,Short,A free-spirited wanderer with an insatiable wanderlust
Elsworth Lennarde,Mage,Warforged,14,Neutral Evil,Male,34,Short,A fearless hunter tracking down dangerous beasts
Hali Coverdale,Death Knight,Genasi,15,Chaotic Neutral,Female,83,Average,A mysterious figure shrouded in shadows
Yance Tremethack,Demon Hunter,Firbolg,1,Lawful Evil,Male,61,Tall,A fearless warrior always ready for battle
Robenia Oliva,Monk,Human,15,Lawful Good,Female,46,Tall,A natural-born leader with a commanding presence
Noe Karlowicz,Shaman,Dragonborn,13,Chaotic Evil,Male,53,Short,A cunning detective solving mysteries with ease
Luce Anthes,Thief,Goblin,14,Neutral Good,Polygender,91,Tall,A compassionate protector of the weak
Lorilee Carville,Sorcerer,Tortle,15,Neutral Evil,Female,40,Average,A skilled magician performing awe-inspiring tricks
Bartholomew Frean,Hunter,Halfling,14,Lawful Neutral,Male,82,Average,A compassionate healer with a gentle touch
Megen Ineson,Mage,Yuan-Ti,14,Chaotic Good,Polygender,69,Tall,A compassionate healer with a gentle touch
Valeda Twamley,Ninja,Goliath,13,Chaotic Evil,Female,13,Short,A cunning strategist with a mischievous smile
Jarrid D'Alwis,Death Knight,Gnome,3,Chaotic Neutral,Male,31,Short,A cunning linguist with nimble fingers
Irvine Edlyne,Hunter,Tabaxi,11,Lawful Evil,Male,87,Short,A stoic guardian always ready to protect others
Nata Gwillym,Monk,Firbolg,10,Neutral Evil,Female,70,Tall,A gentle soul with a deep connection to nature
Whitaker Eglaise,Shaman,Kenku,11,Chaotic Good,Male,89,Average,A master of disguise with a talent for blending in
Lola Benny,Death Knight,Gnome,11,Chaotic Evil,Female,35,Tall,A charismatic leader with a silver tongue
Ramona Paris,Ninja,Yuan-Ti,12,Chaotic Evil,Female,65,Tall,An intuitive empath who can understand others' emotions
Brittaney Ride,Rogue,Warforged,15,Lawful Good,Female,70,Average,A quick-witted trickster with a clever mind
Yorgos McCarle,Mage,Aasimar,5,Chaotic Evil,Male,65,Tall,A charismatic diplomat bridging gaps between cultures
Percy Strowthers,Engineer,Elf,10,Chaotic Good,Male,27,Average,A fearless hunter tracking down dangerous beasts
Randy Sommerland,Ninja,Goblin,13,Neutral Good,Female,50,Tall,A brave adventurer with a mysterious past
Eden Pettisall,Mage,Orc,15,Neutral Evil,Female,38,Average,A skilled navigator guiding others through treacherous terrain
Wanids Rembrandt,Druid,Human,9,True Neutral,Female,28,Tall,A gentle healer mending both body and soul
Liza Mardall,Demon Hunter,Gnome,10,Chaotic Good,Female,88,Average,A resourceful problem solver with a keen eye
Moira Wabersich,Necromancer,Tiefling,14,Chaotic Neutral,Female,61,Tall,A brave adventurer with a mysterious past
Marget Ellerey,Priest,Gnome,6,Chaotic Neutral,Non-binary,36,Short,A curious scholar always hungry for new discoveries
Oby Kilminster,Paladin,Tabaxi,11,True Neutral,Male,80,Short,A skilled diplomat with a knack for negotiation
Konstantin Carruthers,Rogue,Goliath,15,Lawful Good,Male,53,Tall,A skilled craftsman with a talent for creating masterpieces
Ichabod Shadbolt,Rogue,Genasi,1,Lawful Good,Male,83,Average,A master of disguise with a talent for blending in
Danie Clemmett,Necromancer,Firbolg,7,True Neutral,Male,41,Short,A compassionate healer with a gentle touch
Alain Woonton,Bard,Triton,2,Chaotic Neutral,Bigender,27,Short,A compassionate healer with a gentle touch
Niels Sargeaunt,Bard,Orc,14,Neutral Good,Male,60,Tall,A quick-thinking problem solver with a logical mind
Geraldine Mapplebeck,Bard,Genasi,10,Chaotic Good,Female,74,Average,A fearless hunter tracking down dangerous beasts
Bertrand Oakinfold,Thief,Tiefling,11,True Neutral,Male,43,Short,A skilled archer with unmatched precision
Gamaliel Whitelock,Death Knight,Aasimar,7,Lawful Good,Male,70,Short,A compassionate caregiver always putting others first
Rowe Urridge,Mage,Tortle,4,Lawful Evil,Genderfluid,71,Short,A quick-footed acrobat with incredible agility
Matty Casarili,Priest,Dragonborn,12,Chaotic Neutral,Male,23,Average,A skilled engineer inventing groundbreaking technologies
Karla Swyer,Ninja,Dwarf,6,Chaotic Evil,Female,62,Tall,A mysterious seer with visions of the future
Gail Delle,Monk,Dragonborn,8,Chaotic Good,Male,33,Short,A resourceful survivor thriving in harsh environments
Adelina Gray,Engineer,Triton,2,Neutral Good,Female,16,Short,A stoic guardian always ready to protect others
Erica Royan,Shaman,Dwarf,9,Chaotic Neutral,Female,69,Short,A wise mentor guiding others on their path
Remington Sreenan,Thief,Triton,12,Chaotic Good,Male,36,Short,A charismatic leader with a silver tongue
Anstice Borchardt,Thief,Halfling,9,True Neutral,Female,11,Tall,A talented musician who can captivate any audience
Amelina Eadon,Necromancer,Human,7,Neutral Evil,Female,23,Short,A skilled navigator guiding others through treacherous terrain
Kirsten Truckell,Paladin,Firbolg,12,Chaotic Neutral,Female,12,Average,A mysterious figure shrouded in shadows
Wilma Le Borgne,Monk,Triton,11,Chaotic Good,Female,60,Short,A charismatic diplomat bridging gaps between cultures
Giordano Abramowsky,Bard,Human,14,Lawful Neutral,Male,93,Tall,A master of disguise with a talent for blending in
Mayor Sheal,Rogue,Dragonborn,12,Lawful Evil,Male,86,Tall,A patient teacher passing on their knowledge to others
Hastings Dennerley,Shaman,Orc,3,Chaotic Evil,Male,17,Average,A resourceful problem solver with a keen eye
Patten De Nisco,Bard,Goblin,10,Lawful Evil,Male,91,Average,A free-spirited wanderer with an insatiable wanderlust
Britta Saltsberg,Engineer,Gnome,12,True Neutral,Female,37,Short,A mysterious figure shrouded in shadows
Becki Aldis,Samurai,Aasimar,3,Chaotic Good,Female,28,Average,A mysterious figure shrouded in shadows
Karly Kingaby,Shaman,Kenku,15,Chaotic Evil,Female,73,Tall,A loyal companion who never leaves a friend behind
Lethia Dive,Warlock,Dwarf,9,Chaotic Neutral,Female,67,Short,A creative artist with a unique vision
Ignatius Fritter,Death Knight,Triton,9,Chaotic Good,Male,90,Tall,A compassionate protector of the weak
Mehetabel Stott,Warlock,Dragonborn,13,Chaotic Neutral,Female,93,Average,A loyal companion who never leaves a friend behind
Harman Franc,Rogue,Halfling,6,Chaotic Neutral,Male,25,Average,A skilled tracker with an uncanny ability to find anything
Avril Klima,Rogue,Firbolg,9,Neutral Evil,Female,83,Short,A skilled craftsman with a talent for creating masterpieces
Jeremy Waldera,Priest,Gnome,9,Chaotic Good,Male,84,Average,A wise advisor offering guidance and wisdom
Nichole Hennemann,Warrior,Tabaxi,1,Chaotic Good,Female,47,Average,A fearless protector standing up against injustice
Ronnie Denisovo,Thief,Triton,7,Chaotic Evil,Male,68,Tall,A compassionate listener always ready to lend an ear
Elisha Normabell,Rogue,Goblin,14,Lawful Neutral,Male,24,Average,A compassionate caregiver always putting others first
Faun Godfery,Shaman,Kobold,2,Lawful Evil,Female,46,Tall,A wise mentor guiding others on their path
Garner Rosetti,Druid,Dwarf,15,Chaotic Good,Male,72,Short,A gentle healer mending both body and soul
Vincents Buick,Paladin,Firbolg,1,Chaotic Evil,Male,78,Tall,A charismatic leader with a silver tongue
Tabitha Londing,Hunter,Dragonborn,11,Lawful Evil,Female,59,Average,A wise sage with ancient knowledge
Bartolemo Dennehy,Rogue,Tiefling,3,Neutral Good,Male,92,Tall,A skilled navigator guiding others through treacherous terrain
Lay Deaconson,Demon Hunter,Human,5,Neutral Evil,Male,28,Tall,A natural-born leader with a commanding presence
Meryl Eschalette,Ninja,Genasi,10,Chaotic Good,Female,36,Average,A relentless seeker of justice and truth
Doria Cardus,Mage,Halfling,4,Chaotic Good,Female,40,Tall,A talented musician who can captivate any audience
Keslie Langton,Mage,Warforged,4,Chaotic Neutral,Polygender,45,Tall,A skilled magician performing awe-inspiring tricks
Margarete Marciskewski,Warlock,Dwarf,5,Chaotic Evil,Female,40,Short,A wise philosopher pondering the mysteries of life
Arnuad Borgne,Thief,Goblin,5,True Neutral,Male,99,Average,A wise mentor guiding others on their path
